================ Training Loss (Mon Sep  2 22:29:56 2024) ================
(epoch: 125, iters: 24, time: 1.014, data: 0.003) D_A: 0.345 G_A: 0.078 cycle_A: 0.744 idt_A: 0.582 D_B: 0.199 G_B: 0.259 cycle_B: 1.195 idt_B: 0.343 
(epoch: 130, iters: 4, time: 1.005, data: 5.981) D_A: 0.123 G_A: 0.284 cycle_A: 0.805 idt_A: 0.262 D_B: 0.070 G_B: 0.483 cycle_B: 0.648 idt_B: 0.435 
(epoch: 134, iters: 8, time: 10.304, data: 0.002) D_A: 0.064 G_A: 0.143 cycle_A: 0.718 idt_A: 0.561 D_B: 0.140 G_B: 0.497 cycle_B: 1.158 idt_B: 0.352 
(epoch: 138, iters: 12, time: 1.008, data: 0.002) D_A: 0.207 G_A: 0.530 cycle_A: 1.180 idt_A: 0.394 D_B: 0.405 G_B: 0.032 cycle_B: 0.799 idt_B: 0.804 
(epoch: 142, iters: 16, time: 1.009, data: 0.001) D_A: 0.156 G_A: 0.398 cycle_A: 0.654 idt_A: 0.416 D_B: 0.333 G_B: 0.362 cycle_B: 0.871 idt_B: 0.323 
(epoch: 146, iters: 20, time: 1.018, data: 0.002) D_A: 0.200 G_A: 0.361 cycle_A: 0.969 idt_A: 0.668 D_B: 0.219 G_B: 0.251 cycle_B: 1.135 idt_B: 0.434 
(epoch: 150, iters: 24, time: 11.214, data: 0.002) D_A: 0.237 G_A: 0.282 cycle_A: 0.658 idt_A: 0.465 D_B: 0.162 G_B: 0.355 cycle_B: 0.893 idt_B: 0.315 
(epoch: 155, iters: 4, time: 1.006, data: 6.175) D_A: 0.078 G_A: 0.166 cycle_A: 0.668 idt_A: 0.250 D_B: 0.132 G_B: 0.403 cycle_B: 0.520 idt_B: 0.319 
(epoch: 159, iters: 8, time: 1.014, data: 0.003) D_A: 0.103 G_A: 0.173 cycle_A: 0.719 idt_A: 0.306 D_B: 0.146 G_B: 0.493 cycle_B: 0.740 idt_B: 0.407 
(epoch: 163, iters: 12, time: 1.012, data: 0.002) D_A: 0.192 G_A: 0.284 cycle_A: 0.743 idt_A: 0.281 D_B: 0.177 G_B: 0.182 cycle_B: 0.654 idt_B: 0.356 
(epoch: 167, iters: 16, time: 12.204, data: 0.002) D_A: 0.292 G_A: 0.385 cycle_A: 0.653 idt_A: 0.474 D_B: 0.178 G_B: 0.163 cycle_B: 1.202 idt_B: 0.576 
(epoch: 171, iters: 20, time: 1.012, data: 0.002) D_A: 0.242 G_A: 0.169 cycle_A: 0.710 idt_A: 0.260 D_B: 0.159 G_B: 0.363 cycle_B: 0.553 idt_B: 0.356 
(epoch: 175, iters: 24, time: 1.022, data: 0.002) D_A: 0.171 G_A: 0.243 cycle_A: 0.819 idt_A: 0.320 D_B: 0.305 G_B: 0.390 cycle_B: 0.705 idt_B: 0.368 
(epoch: 180, iters: 4, time: 1.003, data: 6.422) D_A: 0.237 G_A: 0.266 cycle_A: 0.562 idt_A: 0.489 D_B: 0.198 G_B: 0.374 cycle_B: 0.948 idt_B: 0.280 
(epoch: 184, iters: 8, time: 13.916, data: 0.002) D_A: 0.192 G_A: 0.435 cycle_A: 0.557 idt_A: 0.191 D_B: 0.193 G_B: 0.238 cycle_B: 0.452 idt_B: 0.246 
(epoch: 188, iters: 12, time: 1.008, data: 0.001) D_A: 0.177 G_A: 0.330 cycle_A: 0.987 idt_A: 0.249 D_B: 0.078 G_B: 0.292 cycle_B: 0.523 idt_B: 0.436 
(epoch: 192, iters: 16, time: 1.006, data: 0.002) D_A: 0.209 G_A: 0.308 cycle_A: 0.591 idt_A: 0.327 D_B: 0.209 G_B: 0.291 cycle_B: 0.595 idt_B: 0.292 
(epoch: 196, iters: 20, time: 1.014, data: 0.000) D_A: 0.181 G_A: 0.358 cycle_A: 0.530 idt_A: 0.228 D_B: 0.247 G_B: 0.217 cycle_B: 0.476 idt_B: 0.472 
(epoch: 200, iters: 24, time: 15.712, data: 0.003) D_A: 0.304 G_A: 0.221 cycle_A: 0.722 idt_A: 0.234 D_B: 0.194 G_B: 0.302 cycle_B: 0.488 idt_B: 0.429 
